"scrape_datetime","etf_ticker","etf_name","holdings_date","ticker","isin","security_name","security_type","shares","value","pct_assets"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","GPC","US3724601055","GENUINE PARTS CO","Common Stock","53572.0","8307410.04","0.0053"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","GPS","US3647601083","GAP INC","Common Stock","326211.0","8285759.4","0.0053"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","TDC","US88076W1036","TERADATA CORP","Common Stock","214087.0","8171700.79","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","FRT","US3137451015","FEDERAL REALTY INVESTMENT TR","Common Stock","81668.0","8139849.56","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","XP","KYG982391099","XP INC CL A","Common Stock","323069.0","8079955.69","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CDNS","US1273871087","CADENCE DESIGN SYSTEMS INC","Common Stock","25846.0","8060075.1","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CRUS","US1727551004","CIRRUS LOGIC INC","Common Stock","90916.0","8057885.08","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ZBH","US98956P1021","ZIMMER BIOMET HLDGS INC","Common Stock","63571.0","8051902.86","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ROKU","US77543R1023","ROKU INC CLASS A","Common Stock","124589.0","8040974.06","0.0052"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WIX","IL0011301780","WIX.COM LTD","Common Stock","57286.0","7820971.15","0.005"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","F","US3453708600","FORD MOTOR CO","Common Stock","619174.0","7615840.2","0.0049"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","TWLO","US90138F1021","TWILIO INC CLASS A","Common Stock","122721.0","7558386.39","0.0048"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CART","US5653941030","MAPLEBEAR INC","Common Stock","202661.0","7496430.39","0.0048"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","AGCO","US0010841023","AGCO CORP","Common Stock","64413.0","7464822.57","0.0048"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","OKE","US6826801036","ONEOK INC","Common Stock","95034.0","7449715.26","0.0048"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","GILD","US3755581036","GILEAD SCIENCES INC","Common Stock","100529.0","7379833.89","0.0047"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","RNG","US76680R2067","RINGCENTRAL INC CL A","Common Stock","208139.0","7376446.16","0.0047"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WU","US9598021098","WESTERN UNION CO","Common Stock","546650.0","7363375.5","0.0047"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WMB","US9694571004","WILLIAMS COMPANIES INC","Common Stock","193925.0","7320668.75","0.0047"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","BKNG","US09857L1089","THE BOOKING HOLDINGS INC","Common Stock","2069.0","7253872.62","0.0047"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WDAY","US98138H1014","WORKDAY INC CL A","Common Stock","26291.0","7183752.84","0.0046"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","BERY","US08579W1036","BERRY GLOBAL GROUP INC","Common Stock","121761.0","7165634.85","0.0046"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","RGA","US7593516047","REINSURANCE GROUP OF AMERICA","Common Stock","38709.0","7128649.44","0.0046"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","KR","US5010441013","KROGER CO","Common Stock","125561.0","7091685.28","0.0045"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","IT","US3666511072","GARTNER INC","Common Stock","14864.0","7090425.28","0.0045"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CNM","US21874C1027","CORE &MAIN INC","Common Stock","130029.0","7085280.21","0.0045"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ADC","US0084921008","AGREE REALTY CORP","Common Stock","127249.0","7085224.32","0.0045"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","SRPT","US8036071004","SAREPTA THERAPEUTICS INC","Common Stock","56835.0","7050950.1","0.0045"
