Unnamed: 0,○　Trends in traffic accidents by year（1948～2015）,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,Traffic Accidents,,,,Injuries,,Fatalities,,,Fatalities,
,,,,Index,Fatalities,,,Index,,Index,,per,Index
,Year,,,,,Index,,,,,,"100,000 persons",
,昭和,年,12504,…,…,…,12655,…,4409,26.298836862511184,,,
,,,17778,…,…,…,16852,…,4565,27.229346853563975,,,
,,1948,21341,…,…,…,17609,…,3848,22.95257977930212,,4.926953560133674,30.13361826673823
,,1949,25113,…,…,…,20242,…,3790,22.6066209364748,,4.737381565460864,28.97418169973726
,,1950,33212,…,…,…,25450,…,4202,25.06412168207575,,5.1386154354126665,31.428158203726408
,,1951,41423,…,…,…,31274,…,4429,26.41813301521026,,5.265410449979195,32.20364604229447
,,1952,58487,…,…,…,43321,…,4696,28.010736653742917,,5.554701269206657,33.972970434797126
,,1953,80019,…,…,…,59280,…,5544,33.06889352818372,,6.4609360432593705,39.51557042240638
,,1954,93869,…,…,…,72390,…,6374,38.01968386519535,,7.328037157540153,44.81882600569861
,,1955,93981,…,…,…,76501,…,6379,38.04950790337011,,7.229229705685694,44.214512204126954
,,1956,122691,…,…,…,102072,…,6751,40.26841634357292,,7.4946989797617585,45.83814223613789
,,1957,146833,…,…,…,124530,…,7575,45.18341783477483,,8.400612163421018,51.37877535273114
,,1958,168799,…,…,…,145432,…,8248,49.197733373098714,,9.070913250043992,55.478387176051946
,,1959,201292,…,…,…,175951,…,10079,60.11929615269908,,10.983251059749147,67.174388944971
,,1960,449917,…,…,…,289156,29.472752921222796,12055,71.90575603936773,,13.012597014280933,79.58602132158127
,,1961,493693,…,…,…,308697,31.464505002568554,12865,76.73725022368029,,13.642340565417488,83.43758020970162
,,1962,479825,…,…,…,313813,31.985962637703143,11445,68.26722338204593,,12.138470839034014,74.23979993744061
,,1963,531966,…,11830,74.86867919751914,359089,36.60080155254939,12301,73.37309871756635,,12.923797816791167,79.0429187558902
,,1964,557183,…,12767,80.7986836276185,401117,40.88458214078948,13318,79.43930808231434,,13.850409750821582,84.71014698540064
,,1965,567286,…,11922,75.45092082779571,425666,43.386783760202874,12484,74.46465851476289,,12.8460002881192,78.56710322353656
,,1966,425944,59.31706773618538,13257,83.89975318017846,517775,52.77516165594397,13904,82.93468535639725,,14.014857523006985,85.7159219194181
,,1967,521481,72.62157419786097,12885,81.54547180558193,655377,66.80049658748992,13618,81.22875037280048,,13.75055535360879,84.09942998733261
,,1968,635056,88.43805704099822,13556,85.7920384785773,828071,84.40264765119825,14256,85.03429764390098,,14.228112898718512,87.0202078248137
,,1969,720880,100.38992869875223,15396,97.4368710841086,967000,98.56323947911315,16257,96.96987772144348,,16.043461527074637,98.12301647122727
,,1970,718080,100,15801,100,981096,100,16765,100,,16.35035499726925,100
,,1971,700290,97.5225601604278,15340,97.0824631352446,949689,96.79878421683506,16278,97.09513868177751,,15.69417662938681,95.98676378591149
,,1972,659283,91.81191510695187,15009,94.98765900892349,889198,90.63312866426935,15918,94.94780793319416,,15.139093632602595,92.59183445944169
,,1973,586713,81.70579879679144,13791,87.27928612113158,789948,80.5168913133883,14574,86.93110647181629,,13.54523909103583,82.84370029456905
,,1974,490452,68.3004679144385,10845,68.63489652553636,651420,66.39717214217569,11432,68.18968088279152,,10.478075964217627,64.08470009346965
,,1975,472938,65.86146390374331,10165,64.33137143218784,622467,63.446084786809855,10792,64.37220399642112,,9.760068009369375,59.69330947859818
,,1976,471041,65.59728721033868,9196,58.198848174166194,613957,62.578687508663776,9734,58.06143751864003,,8.695729855279614,53.18373733617362
,,1977,460649,64.15009469696969,8487,53.7117903930131,593211,60.46411360356173,8945,53.3552042946615,,7.909349744460361,48.37417747676634
,,1978,464037,64.6219084224599,8311,52.59793683944054,594116,60.55635737990982,8783,52.388905457798984,,7.6932509963649105,47.052501292172536
,,1979,471573,65.6713736631016,8048,50.93348522245428,596282,60.77713088219705,8466,50.498061437518636,,7.349596319124924,44.95068345826384
,,1980,476677,66.38215797682709,8329,52.711853680146824,598719,61.02552655397637,8760,52.251714882195046,,7.5416469372820805,46.12527947277993
,,1981,485578,67.62171345811052,8278,52.389089298145684,607346,61.90484927061164,8719,52.00715776916195,,7.44831710234068,45.55446718792747
,,1982,502261,69.94499220142603,8606,54.464907284349096,626192,63.82576220879507,9073,54.11869967193558,,7.695374124272701,47.06548650202361
,,1983,526362,73.30130347593582,9045,57.24321245490792,654822,66.74392719978474,9520,56.78496868475992,,8.018327605956472,49.040694268079505
,,1984,518642,72.22621434937612,8829,55.8762103664325,644321,65.67359361367288,9262,55.246048314941845,,7.748293401151117,47.38914477664367
,,1985,552788,76.98139483065954,8826,55.85722422631479,681346,69.4474342979688,9261,55.24008350730689,,7.69793441669091,47.081145442876185
,,1986,579190,80.65814393939394,8877,56.17998860831593,712330,72.60553503428818,9317,55.5741127348643,,7.696883080405456,47.07471539113951
,,1987,590723,82.26423239750446,8981,56.838174799063346,722179,73.60941233069954,9347,55.75305696391292,,7.682886733519645,46.98911268166838
,,1988,614481,85.57277740641712,9865,62.43275742041643,752845,76.73510033676622,10344,61.69997017596182,,8.462111110202144,51.75490753329479
,,1989,661363,92.10157642602496,10570,66.89450034807923,814832,83.05323841907418,11086,66.12585744109752,,9.031732453460425,55.238754479452325
