"keyword","stock_code","stock_name","news_id","news_date_time","news_link","news_title","news_text","scrape_datetime"
"CSRC","09877","JENSCARE-B","2024031101105","11/03/2024 22:14","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0311/2024031101105.pdf","Announcements and Notices - [Inside Information] INSIDE INFORMATION -  ISSUANCE OF FILING NOTICE BY THE CSRC IN RESPECT OF THE COMPANY'S H SHARE FULL CIRCULATION APPLICATION","Announcements and Notices - [Inside Information] INSIDE INFORMATION -  ISSUANCE OF FILING NOTICE BY THE CSRC IN RESPECT OF THE COMPANY'S H SHARE FULL CIRCULATION APPLICATION","2024-03-15 20:25:02.864174"
"CSRC","06922","CRYOFOCUS-B","2024031100983","11/03/2024 20:21","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0311/2024031100983.pdf","Announcements and Notices - [Inside Information] INSIDE INFORMATION ANNOUNCEMENT -  ISSUANCE OF FILING NOTICE BY CSRC FOR H SHARE FULL CIRCULATION APPLICATION OF COMPANY","Announcements and Notices - [Inside Information] INSIDE INFORMATION ANNOUNCEMENT -  ISSUANCE OF FILING NOTICE BY CSRC FOR H SHARE FULL CIRCULATION APPLICATION OF COMPANY","2024-03-15 20:25:02.864174"
"CSRC","01497","YAN PALACE","2024031100276","11/03/2024 16:30","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0311/2024031100276.pdf","Announcements and Notices - [Inside Information] INSIDE INFORMATION ANNOUNCEMENT
COMPLETION OF THE FILING WITH THE CSRC FOR THE
IMPLEMENTATION OF THE H SHARE FULL CIRCULATION BY THE
COMPANY","Announcements and Notices - [Inside Information] INSIDE INFORMATION ANNOUNCEMENT
COMPLETION OF THE FILING WITH THE CSRC FOR THE
IMPLEMENTATION OF THE H SHARE FULL CIRCULATION BY THE
COMPANY","2024-03-15 20:25:02.864174"
"CSRC","03931","CALB","2024030800903","08/03/2024 18:16","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0308/2024030800903.pdf","Announcements and Notices - [Inside Information] INSIDE INFORMATION
ISSUANCE OF FILING NOTICE BY THE CSRC FOR THE ""H SHARE FULL
CIRCULATION"" BY THE COMPANY","Announcements and Notices - [Inside Information] INSIDE INFORMATION
ISSUANCE OF FILING NOTICE BY THE CSRC FOR THE ""H SHARE FULL
CIRCULATION"" BY THE COMPANY","2024-03-15 20:25:02.864174"
